model,regime,prompt_id,fact_id,category,context_answer,memory_answer,reason
qwen2_5_3b_instruct,explicit_context,p_09cdffbf8b,fact_252cbea80e,geography,Casper,Cheyenne,neither
qwen2_5_3b_instruct,explicit_context,p_8791f18b09,fact_1c182617ac,geography,Fargo,Bismarck,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_b7529e1829,fact_9cf484fbad,geography,Sioux Falls,Pierre,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_24783a16f3,fact_d74971e01c,geography,peso,rupee,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_14a3b83cbd,fact_5593c8294f,geography,euro,ruble,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_6dd932f40b,fact_ecd7399509,geography,euro,krona,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_d02417e01d,fact_ec84017d27,geography,euro,krone,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_286e6defa5,fact_522a0f0048,geography,dirham,riyal,neither
qwen2_5_3b_instruct,explicit_context,p_6ed1919094,fact_24c47ff7c5,geography,riyal,dirham,neither
qwen2_5_3b_instruct,explicit_context,p_76c63e4c0d,fact_6a864232a1,chemistry,12,11,neither
qwen2_5_3b_instruct,explicit_context,p_5c133f1e32,fact_bb0e3ef7c1,chemistry,16,15,neither
qwen2_5_3b_instruct,explicit_context,p_06543d7cbd,fact_2fad0b0703,chemistry,15,16,neither
qwen2_5_3b_instruct,explicit_context,p_02e3001b63,fact_2604b685fa,chemistry,18,17,neither
qwen2_5_3b_instruct,explicit_context,p_52e65b79c8,fact_d25769596a,chemistry,20,19,neither
qwen2_5_3b_instruct,explicit_context,p_2c0609055b,fact_da10d5a901,chemistry,19,20,neither
qwen2_5_3b_instruct,explicit_context,p_8da1a2d776,fact_b5d325043b,chemistry,27,26,neither
qwen2_5_3b_instruct,explicit_context,p_a5985a5eb4,fact_29a641a459,chemistry,30,29,neither
qwen2_5_3b_instruct,explicit_context,p_4e5a661e61,fact_9c9a2e4da3,chemistry,29,30,neither
qwen2_5_3b_instruct,explicit_context,p_1e8cc61633,fact_c43e1459a6,chemistry,48,47,neither
qwen2_5_3b_instruct,explicit_context,p_d4e18dbc0a,fact_0b868e4408,chemistry,80,79,neither
qwen2_5_3b_instruct,explicit_context,p_df62524ec4,fact_cbc55e7f44,chemistry,81,82,neither
qwen2_5_3b_instruct,explicit_context,p_8e19d14623,fact_08eccaf034,chemistry,91,92,neither
qwen2_5_3b_instruct,explicit_context,p_8b641586f3,fact_8f6079efd0,chemistry,10,9,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_d19e7135e6,fact_a6120a2c95,chemistry,9,10,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_fa0e4cadf1,fact_091f43d021,chemistry,14,13,neither
qwen2_5_3b_instruct,explicit_context,p_a4213ba9ea,fact_02df6b17bd,chemistry,13,14,neither
qwen2_5_3b_instruct,explicit_context,p_f303818d54,fact_5c0dc7c4c5,chemistry,17,18,neither
qwen2_5_3b_instruct,explicit_context,p_e2019b35f9,fact_c8249fcab8,chemistry,23,22,neither
qwen2_5_3b_instruct,explicit_context,p_cd3cf5ca1a,fact_a4be9609ed,chemistry,25,24,neither
qwen2_5_3b_instruct,explicit_context,p_80ea4bd79c,fact_7e9552185f,chemistry,24,25,neither
qwen2_5_3b_instruct,explicit_context,p_ae72806340,fact_06db44d557,chemistry,28,27,neither
qwen2_5_3b_instruct,explicit_context,p_0af729dc0d,fact_7c8ef8f074,chemistry,27,28,neither
qwen2_5_3b_instruct,explicit_context,p_048bdc89d7,fact_7989d46bd5,chemistry,36,35,neither
qwen2_5_3b_instruct,explicit_context,p_595518dc2c,fact_fef8128d0d,chemistry,90,100,neither
qwen2_5_3b_instruct,explicit_context,p_bc1bf791b2,fact_8a94d9d5cc,chemistry,80,78,neither
qwen2_5_3b_instruct,explicit_context,p_d9d0b2662a,fact_95d3459c6f,chemistry,-200,-196,neither
qwen2_5_3b_instruct,explicit_context,p_10f0ae4ee9,fact_fe677d97b8,chemistry,-180,-183,neither
qwen2_5_3b_instruct,explicit_context,p_3f77fa519d,fact_8f256de3b3,chemistry,3000,2862,neither
qwen2_5_3b_instruct,explicit_context,p_6a8766aaed,fact_d088f13b9f,chemistry,3000,2856,neither
qwen2_5_3b_instruct,explicit_context,p_e9cc71df1b,fact_78050045a0,chemistry,2500,2562,neither
qwen2_5_3b_instruct,explicit_context,p_d0db32aa9e,fact_b71dc5a415,chemistry,1700,1749,neither
qwen2_5_3b_instruct,explicit_context,p_a9349f3413,fact_f1d21d7d3f,chemistry,2200,2162,neither
qwen2_5_3b_instruct,explicit_context,p_704a568381,fact_f59785647d,chemistry,-250,-253,neither
qwen2_5_3b_instruct,explicit_context,p_78e025b4bb,fact_e9a1aeb387,chemistry,-270,-269,neither
qwen2_5_3b_instruct,explicit_context,p_2073e09d8a,fact_0de3017cd4,chemistry,100,78,neither
qwen2_5_3b_instruct,explicit_context,p_5ab88da2df,fact_7c23c9f721,astronomy,80,95,neither
qwen2_5_3b_instruct,explicit_context,p_a96406567e,fact_3b24ebd9f0,astronomy,130,146,neither
qwen2_5_3b_instruct,explicit_context,p_2688b13c1e,fact_da8e8fbaf5,astronomy,20,28,neither
qwen2_5_3b_instruct,explicit_context,p_b8163be75d,fact_98766b58a5,astronomy,20,16,neither
qwen2_5_3b_instruct,explicit_context,p_ea334e72ad,fact_4728a74172,astronomy,planet,dwarf planet,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_b387921cbb,fact_687e3cfc53,astronomy,nebula,galaxy,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_561ccd320d,fact_01e7906f85,astronomy,artificial satellite,natural satellite,neither
qwen2_5_3b_instruct,explicit_context,p_69c416217b,fact_c9a31e611a,biology,flock,gaggle,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_42663b2ab0,fact_2513c2338c,biology,flock,flamboyance,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_a3e422849e,fact_f11a277a8a,biology,8,10,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_3da5a95eb7,fact_de0e9f2f76,biology,10,8,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_24796df08f,fact_35833bcc4a,biology,8,10,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_e503f6593d,fact_f60c2021fa,biology,bird,mammal,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_0bf82dfc5b,fact_2cb53d8be2,biology,fish,mammal,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_f9cb1b88bb,fact_3188c3d1ae,biology,fish,mammal,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_139a056026,fact_85087344ba,biology,reptile,mammal,neither
qwen2_5_3b_instruct,explicit_context,p_930943d4ff,fact_0de2dcf992,biology,reptile,amphibian,neither
qwen2_5_3b_instruct,explicit_context,p_141a94eb98,fact_308c87aed8,biology,amphibian,reptile,neither
qwen2_5_3b_instruct,explicit_context,p_68f74d0eb6,fact_867d11dfe7,biology,reptile,amphibian,neither
qwen2_5_3b_instruct,explicit_context,p_ef9a6f9639,fact_180a275f41,biology,mammal,fish,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_4c33ac3c7a,fact_10d2374984,biology,amphibian,reptile,neither
qwen2_5_3b_instruct,explicit_context,p_e35ab32b84,fact_8959016b9c,biology,mammal,fish,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_39b09321a1,fact_7b587f2129,biology,fish,invertebrate,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_49ff4958e3,fact_7edffb20d1,biology,fish,crustacean,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_1664d09f9e,fact_30bdbc5bc3,biology,insect,mollusk,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_4416d38657,fact_ffdca41653,biology,insect,annelid,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_5c160a2266,fact_69f6727917,biology,100,120,neither
qwen2_5_3b_instruct,explicit_context,p_c21be1a1a1,fact_e7e7b24423,biology,300,389,neither
qwen2_5_3b_instruct,explicit_context,p_737a3fabd6,fact_b2e155ca4c,biology,70,80,neither
qwen2_5_3b_instruct,explicit_context,p_9681a14276,fact_e6d18fe474,biology,70,88,neither
qwen2_5_3b_instruct,explicit_context,p_c8a7a4c2fe,fact_6e1b1677c3,biology,60,70,neither
qwen2_5_3b_instruct,explicit_context,p_b2cbc1e342,fact_50167cdb92,biology,40,56,neither
qwen2_5_3b_instruct,explicit_context,p_3fadee2539,fact_dda56837f8,biology,50,40,neither
qwen2_5_3b_instruct,explicit_context,p_d4800416b2,fact_aaf40f91bc,physics,Joule,Newton,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_9df0c7b1dc,fact_a98b348240,physics,Watt,Joule,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_c96c8bb4f1,fact_4db8c24955,physics,Joule,Watt,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_605b4a3538,fact_9dc297664d,physics,Watt,Hertz,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_0fccfe2572,fact_83b7bbe8f6,physics,Volt,Ampere,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_d1b2da1420,fact_eee51a6fcf,physics,Ampere,Volt,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_dfcc379a2f,fact_92f10dde6d,physics,Volt,Ohm,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_1100328aa8,fact_0df87ca473,physics,Ohm,Farad,neither
qwen2_5_3b_instruct,explicit_context,p_694b55db5b,fact_e98ce0fd89,physics,Lumen,Candela,neither
qwen2_5_3b_instruct,explicit_context,p_6731fc6f2a,fact_33f052cfec,physics,Curie,Becquerel,neither
qwen2_5_3b_instruct,explicit_context,p_b89d4719a2,fact_17e6fa8431,physics,Sievert,Gray,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_13541e2ec6,fact_4c8aeef5e5,physics,Farad,Henry,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_4efa346533,fact_fc2027e8bc,physics,F=mv,F=ma,neither
qwen2_5_3b_instruct,explicit_context,p_2e99c5b286,fact_9ee0a1b3e7,physics,300000000,299792458,neither
qwen2_5_3b_instruct,explicit_context,p_cd844f7d57,fact_88c63537c8,physics,6.626e-32,6.626e-34,neither
qwen2_5_3b_instruct,explicit_context,p_d049f689c6,fact_56787410b6,history,1778,1776,neither
qwen2_5_3b_instruct,explicit_context,p_6d62e17575,fact_a9f44e0d47,history,1791,1789,neither
qwen2_5_3b_instruct,explicit_context,p_03cbf70b15,fact_8001ff34f9,history,1916,1914,neither
qwen2_5_3b_instruct,explicit_context,p_19552084ed,fact_ec6140dd2c,history,1919,1918,neither
qwen2_5_3b_instruct,explicit_context,p_97df9a1250,fact_ac8d5d6d7d,history,1940,1939,neither
qwen2_5_3b_instruct,explicit_context,p_1ca5d4795e,fact_4cf2c8f74b,history,1946,1945,neither
qwen2_5_3b_instruct,explicit_context,p_30fdbc4114,fact_88e1aaaf92,history,1970,1969,neither
qwen2_5_3b_instruct,explicit_context,p_aa0982ff12,fact_def1984e62,history,1990,1989,neither
qwen2_5_3b_instruct,explicit_context,p_e63de67fcb,fact_1f0b7c83f2,history,1963,1961,neither
qwen2_5_3b_instruct,explicit_context,p_70c12e7ae7,fact_79f60faa27,history,1955,1953,neither
qwen2_5_3b_instruct,explicit_context,p_749aab1b01,fact_9f33a3cda8,history,1907,1905,neither
qwen2_5_3b_instruct,explicit_context,p_e469832a11,fact_1f407179eb,history,1930,1928,neither
qwen2_5_3b_instruct,explicit_context,p_c382cd5ec7,fact_28bf618b1f,history,1494,1492,neither
qwen2_5_3b_instruct,explicit_context,p_51669d7fed,fact_3124bfa91d,history,1905,1903,neither
qwen2_5_3b_instruct,explicit_context,p_0714906f99,fact_011b861fb3,history,1959,1957,neither
qwen2_5_3b_instruct,explicit_context,p_983fc0a901,fact_52c8794331,history,1866,1865,neither
qwen2_5_3b_instruct,explicit_context,p_ba3b3c2e90,fact_cbcb55107d,history,1918,1917,neither
qwen2_5_3b_instruct,explicit_context,p_ce88d1b684,fact_6128e90655,history,1800,1799,neither
qwen2_5_3b_instruct,explicit_context,p_ed40bd7c55,fact_57918bb58a,history,1816,1815,neither
qwen2_5_3b_instruct,explicit_context,p_5a1ef032b6,fact_ce46388c3b,history,1217,1215,neither
qwen2_5_3b_instruct,explicit_context,p_54bc2fdae7,fact_6cf5527831,history,15,16,neither
qwen2_5_3b_instruct,explicit_context,p_debde03358,fact_a87645d8ed,history,27,26,neither
qwen2_5_3b_instruct,explicit_context,p_750deee749,fact_622779fadf,history,29,28,neither
qwen2_5_3b_instruct,explicit_context,p_8a92ff0e63,fact_b5baf0b628,history,31,32,neither
qwen2_5_3b_instruct,explicit_context,p_bad0a51e8a,fact_da172ece4b,history,34,33,neither
qwen2_5_3b_instruct,explicit_context,p_35f9e434f4,fact_8c9756b9d0,history,33,34,neither
qwen2_5_3b_instruct,explicit_context,p_0057ff74f1,fact_d37b58fff1,history,36,35,neither
qwen2_5_3b_instruct,explicit_context,p_6564c16413,fact_d6969e8665,history,37,36,neither
qwen2_5_3b_instruct,explicit_context,p_ee4ddea58a,fact_ea53141fa4,history,38,37,neither
qwen2_5_3b_instruct,explicit_context,p_46b2e312d1,fact_12dd35aa07,history,40,39,neither
qwen2_5_3b_instruct,explicit_context,p_59d0b6f209,fact_4efd2c037f,history,41,40,neither
qwen2_5_3b_instruct,explicit_context,p_108dbcbb4e,fact_03751c2969,history,43,42,neither
qwen2_5_3b_instruct,explicit_context,p_8c24869228,fact_72b75e2f76,history,43,44,neither
qwen2_5_3b_instruct,explicit_context,p_8e6c4a1bc8,fact_534496097a,history,Thomas Edison,Alexander Graham Bell,neither
qwen2_5_3b_instruct,explicit_context,p_af2ac51548,fact_dc5ea8d389,history,Nikola Tesla,Thomas Edison,neither
qwen2_5_3b_instruct,explicit_context,p_7b2b584bd0,fact_1c3dc5a167,history,Glenn Curtiss,Wright Brothers,neither
qwen2_5_3b_instruct,explicit_context,p_ec2e284a2c,fact_379667963a,history,Nikola Tesla,Guglielmo Marconi,neither
qwen2_5_3b_instruct,explicit_context,p_6028566f10,fact_7ab7080a6a,history,Vint Cerf,Tim Berners-Lee,neither
qwen2_5_3b_instruct,explicit_context,p_daab2a6f08,fact_d78217e572,history,William Caxton,Johannes Gutenberg,neither
qwen2_5_3b_instruct,explicit_context,p_ff9627963b,fact_ce6a63688d,history,Hiram Maxim,Alfred Nobel,neither
qwen2_5_3b_instruct,explicit_context,p_f2dd041eee,fact_e8071c91f8,history,Marie Curie,Wilhelm Roentgen,neither
qwen2_5_3b_instruct,explicit_context,p_de32a0cea9,fact_774b4dad6b,history,George Stephenson,James Watt,neither
qwen2_5_3b_instruct,explicit_context,p_1b3f28fb40,fact_1acfc107f3,history,Philo Farnsworth,John Logie Baird,neither
qwen2_5_3b_instruct,explicit_context,p_24049be7a5,fact_db1a93c105,history,Louis Pasteur,Alexander Fleming,neither
qwen2_5_3b_instruct,explicit_context,p_a78a28de89,fact_c7dc04bd2e,history,John Dalton,Dmitri Mendeleev,neither
qwen2_5_3b_instruct,explicit_context,p_4599df265b,fact_3196c6c8c8,history,Galileo Galilei,Isaac Newton,neither
qwen2_5_3b_instruct,explicit_context,p_333bf5bf1c,fact_432eb59b08,history,Alfred Wallace,Charles Darwin,neither
qwen2_5_3b_instruct,explicit_context,p_9b1647de60,fact_50e801468a,literature,Marlowe,Shakespeare,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_d9e5a9fdac,fact_0bec00e1de,literature,Ben Jonson,Shakespeare,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_39000afbe2,fact_7d331f3f7b,literature,Charlotte Bronte,Jane Austen,neither
qwen2_5_3b_instruct,explicit_context,p_f65da6d938,fact_a961512401,literature,Jane Austen,Charlotte Bronte,neither
qwen2_5_3b_instruct,explicit_context,p_d4e8e384e3,fact_64b601f163,literature,Charlotte Bronte,Emily Bronte,neither
qwen2_5_3b_instruct,explicit_context,p_5f3b7942aa,fact_6cb35e736c,literature,Nathaniel Hawthorne,Herman Melville,neither
qwen2_5_3b_instruct,explicit_context,p_e94b544160,fact_b5b9de5ec2,literature,Ernest Hemingway,F Scott Fitzgerald,neither
qwen2_5_3b_instruct,explicit_context,p_267ff8cad4,fact_6fc8a6104a,literature,Aldous Huxley,George Orwell,neither
qwen2_5_3b_instruct,explicit_context,p_e345320486,fact_8f5dcf5194,literature,George Orwell,Aldous Huxley,neither
qwen2_5_3b_instruct,explicit_context,p_ca427750e3,fact_b8fef2c6a4,literature,Aldous Huxley,George Orwell,neither
qwen2_5_3b_instruct,explicit_context,p_12c1b4909c,fact_579c196183,literature,Lope de Vega,Miguel de Cervantes,neither
qwen2_5_3b_instruct,explicit_context,p_42f95d197e,fact_dbbf94376a,literature,Tolstoy,Dostoevsky,neither
qwen2_5_3b_instruct,explicit_context,p_6c061419c6,fact_524416f26a,literature,Dostoevsky,Tolstoy,neither
qwen2_5_3b_instruct,explicit_context,p_9f4365eaf9,fact_cfa574c278,literature,Virgil,Homer,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_ae0c9ba278,fact_1ca6d99e0a,literature,Virgil,Homer,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_db038fa2ec,fact_a321408331,literature,Petrarch,Dante Alighieri,neither
qwen2_5_3b_instruct,explicit_context,p_3fff8db577,fact_9721d32e7f,literature,Schiller,Goethe,neither
qwen2_5_3b_instruct,explicit_context,p_f55b63e22d,fact_d743e9af44,literature,John Lydgate,Geoffrey Chaucer,neither
qwen2_5_3b_instruct,explicit_context,p_387835ac00,fact_88e56ada95,literature,John Dryden,John Milton,neither
qwen2_5_3b_instruct,explicit_context,p_4b2a088594,fact_0af5a11ed5,literature,Christopher Marlowe,Shakespeare,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_b609852dc6,fact_86e8d0f6ff,literature,Ben Jonson,Shakespeare,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_98dd191ebe,fact_fe6feec206,literature,Christopher Marlowe,Shakespeare,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_8e2496a39b,fact_38fc4eab32,literature,Francis Bacon,Shakespeare,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_845dd8217f,fact_c3d173e776,literature,Herman Melville,Nathaniel Hawthorne,neither
qwen2_5_3b_instruct,explicit_context,p_3e4d463a75,fact_5d86fdb619,literature,Edgar Allan Poe,Mark Twain,neither
qwen2_5_3b_instruct,explicit_context,p_5379218f2d,fact_2e584929ec,literature,Mark Twain,Edgar Allan Poe,neither
qwen2_5_3b_instruct,explicit_context,p_c771dd1107,fact_e66f895447,literature,Bram Stoker,Mary Shelley,neither
qwen2_5_3b_instruct,explicit_context,p_809b724a12,fact_fafef090c7,literature,Mary Shelley,Bram Stoker,neither
qwen2_5_3b_instruct,explicit_context,p_219d720544,fact_75b6ebd34f,literature,George Bernard Shaw,Oscar Wilde,neither
qwen2_5_3b_instruct,explicit_context,p_25c70b6383,fact_867e3d97a5,literature,Oscar Wilde,George Bernard Shaw,neither
qwen2_5_3b_instruct,explicit_context,p_547bbf9170,fact_c5ec3ad503,music,woodwind,string,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_b086bab738,fact_d808853248,music,woodwind,string,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_6ed05e64bf,fact_eb6322c411,music,string,woodwind,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_16a5a1711f,fact_3324e476ca,music,brass,woodwind,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_52def8d488,fact_a3733e10c2,music,brass,woodwind,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_fd5089f24c,fact_43ff18bde4,music,brass,woodwind,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_2ecf0b938f,fact_42a20f452f,music,brass,woodwind,no_memory_single_token
qwen2_5_3b_instruct,explicit_context,p_6b78bf7071,fact_27557e6137,music,woodwind,brass,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_de8a380b79,fact_6ecf413253,music,woodwind,brass,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_82c4909e12,fact_17f3853a94,music,woodwind,brass,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_f8dbacdd5d,fact_735c2eed94,music,woodwind,percussion,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_a308178ac7,fact_50deb00e5f,music,woodwind,string,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_b3205ee71e,fact_0ae22aa1ec,music,woodwind,string,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_7ca3760184,fact_0e9dde73b9,music,woodwind,string,no_context_single_token
qwen2_5_3b_instruct,explicit_context,p_aa7f2d6cd2,fact_c07f6eb419,mathematics,24,25,neither
qwen2_5_3b_instruct,explicit_context,p_abacc7372f,fact_69de6fd3ae,mathematics,54,56,neither
qwen2_5_3b_instruct,explicit_context,p_ba35d7a85f,fact_5f8e86fabb,mathematics,80,81,neither
